시도명,항목,19년_중금속_평균,20년_중금속_평균,19년_중금속_중앙치,20년_중금속_중앙치,19년_중금속_최댓값,20년_중금속_최댓값,19년_중금속_최솟값,20년_중금속_최솟값
세종특별자치시,비소 As (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
세종특별자치시,수은 Hg (㎎/ℓ),0.0,8.483333333333334e-07,0.0,8.483333333333334e-07,0.0,8.483333333333334e-07,0.0,8.483333333333334e-07
세종특별자치시,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
세종특별자치시,카드뮴 Cd (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산광역시,6가크롬 Cr6+ (㎎/ℓ),4.1666666666666665e-05,0.0,4.1666666666666665e-05,0.0,4.1666666666666665e-05,0.0,4.1666666666666665e-05,0.0
울산광역시,납 Pb (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산광역시,비소 As (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산광역시,수은 Hg (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산광역시,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산광역시,카드뮴 Cd (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천광역시,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천광역시,납 Pb (㎎/ℓ),0.0002315952388833,0.0002454285703333,0.0002315952388833,0.0002454285703333,0.0002315952388833,0.0002454285703333,0.0002315952388833,0.0002454285703333
인천광역시,비소 As (㎎/ℓ),9.016666741666668e-05,0.00011061904725,9.016666741666668e-05,0.00011061904725,9.016666741666668e-05,0.00011061904725,9.016666741666668e-05,0.00011061904725
인천광역시,수은 Hg (㎎/ℓ),1.21428571e-07,1.5595238083333338e-07,1.21428571e-07,1.5595238083333338e-07,1.21428571e-07,1.5595238083333338e-07,1.21428571e-07,1.5595238083333338e-07
인천광역시,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천광역시,카드뮴 Cd (㎎/ℓ),4.547619016666666e-06,1.0285714058333337e-05,4.547619016666666e-06,1.0285714058333337e-05,4.547619016666666e-06,1.0285714058333337e-05,4.547619016666666e-06,1.0285714058333337e-05
전라남도,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전라남도,납 Pb (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전라남도,비소 As (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전라남도,수은 Hg (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전라남도,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전라남도,카드뮴 Cd (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전라북도,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전라북도,납 Pb (㎎/ℓ),4.059829166666667e-07,5.982906083333334e-07,0.0,8.333333333333334e-07,1.21794875e-06,9.615384916666666e-07,0.0,0.0
전라북도,비소 As (㎎/ℓ),1.4401709275000001e-05,2.0581196277777778e-05,0.0,1.2e-05,4.3205127825000005e-05,4.974358883333334e-05,0.0,0.0
전라북도,수은 Hg (㎎/ℓ),1.0683760944444444e-08,2.8576923083333336e-07,0.0,8.974359166666666e-09,3.205128283333333e-08,8.483333333333334e-07,0.0,0.0
전라북도,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전라북도,카드뮴 Cd (㎎/ℓ),1.4957265555555552e-07,1.196581222222222e-07,0.0,1.6666666666666665e-07,4.487179666666666e-07,1.923077e-07,0.0,0.0
