"구분(1)","항목별(1)",항목별(2),2019,2020
"경기도","생활폐기물 관리제외지역",인구 (명),0,0
"경기도","생활폐기물 관리제외지역",동(읍·면)수 (개),0,0
"경기도","생활폐기물 관리제외지역",세대수 (가구),0,0
"경기도","관리제외지역 비율",면적비 (％),0.0,0.0
"경기도","관리제외지역 비율",인구비 (％),0.0,0.0
"경기도","관리제외지역 비율",동 (％),0.0,0.0
"경기도","관리제외지역 비율",세대수 (％),0.0,0.0
"강원도","전체 행정구역",면적 (km²),16875.28,16876.64
"강원도","전체 행정구역",인구 (명),1560571,1560172
"강원도","전체 행정구역",동(읍·면)수 (개),193,193
"강원도","전체 행정구역",세대수 (가구),719524,736301
"강원도","생활폐기물 관리구역",면적 (km²),16465.22,16643.31
"강원도","생활폐기물 관리구역",인구 (명),1558268,1557978
"강원도","생활폐기물 관리구역",동(읍·면)수 (개),193,193
"강원도","생활폐기물 관리구역",세대수 (가구),718664,735594
"강원도","생활폐기물 관리제외지역",면적 (km²),410.06,233.33
"강원도","생활폐기물 관리제외지역",인구 (명),2303,2194
"강원도","생활폐기물 관리제외지역",동(읍·면)수 (개),0,0
"강원도","생활폐기물 관리제외지역",세대수 (가구),860,707
"강원도","관리제외지역 비율",면적비 (％),2.4,1.4
"강원도","관리제외지역 비율",인구비 (％),0.1,0.1
"강원도","관리제외지역 비율",동 (％),0.0,0.0
"강원도","관리제외지역 비율",세대수 (％),0.1,0.1
"충청북도","전체 행정구역",면적 (km²),7406.84,7406.95
"충청북도","전체 행정구역",인구 (명),1633854,1637897
"충청북도","전체 행정구역",동(읍·면)수 (개),153,153
"충청북도","전체 행정구역",세대수 (가구),722123,745644
"충청북도","생활폐기물 관리구역",면적 (km²),7391.04,7391.15
"충청북도","생활폐기물 관리구역",인구 (명),1633834,1637877
"충청북도","생활폐기물 관리구역",동(읍·면)수 (개),153,153
"충청북도","생활폐기물 관리구역",세대수 (가구),722112,745633
"충청북도","생활폐기물 관리제외지역",면적 (km²),15.80,15.80
"충청북도","생활폐기물 관리제외지역",인구 (명),20,20
"충청북도","생활폐기물 관리제외지역",동(읍·면)수 (개),0,0
"충청북도","생활폐기물 관리제외지역",세대수 (가구),11,11
"충청북도","관리제외지역 비율",면적비 (％),0.2,0.2
"충청북도","관리제외지역 비율",인구비 (％),0.0,0.0
"충청북도","관리제외지역 비율",동 (％),0.0,0.0
"충청북도","관리제외지역 비율",세대수 (％),0.0,0.0
"충청남도","전체 행정구역",면적 (km²),8245.55,8246.17
"충청남도","전체 행정구역",인구 (명),2194384,2185575
"충청남도","전체 행정구역",동(읍·면)수 (개),207,207
"충청남도","전체 행정구역",세대수 (가구),959255,983153
"충청남도","생활폐기물 관리구역",면적 (km²),8220.25,8220.87
"충청남도","생활폐기물 관리구역",인구 (명),2191142,2182333
"충청남도","생활폐기물 관리구역",동(읍·면)수 (개),207,207
"충청남도","생활폐기물 관리구역",세대수 (가구),957539,981437
"충청남도","생활폐기물 관리제외지역",면적 (km²),25.30,25.30
"충청남도","생활폐기물 관리제외지역",인구 (명),3242,3242
"충청남도","생활폐기물 관리제외지역",동(읍·면)수 (개),0,0
"충청남도","생활폐기물 관리제외지역",세대수 (가구),1716,1716
"충청남도","관리제외지역 비율",면적비 (％),0.3,0.3
"충청남도","관리제외지역 비율",인구비 (％),0.1,0.1
"충청남도","관리제외지역 비율",동 (％),0.0,0.0
