"구분(1)","항목별(1)",항목별(2),2020
"충청남도","공공처리",매립,67471.1
"충청남도","공공처리",기타,1469.7
"충청남도","자가처리",소계,97.7
"충청남도","자가처리",재활용,97.7
"충청남도","자가처리",소각,0.0
"충청남도","자가처리",매립,0.0
"충청남도","자가처리",기타,0.0
"충청남도","위탁처리",소계,273355.1
"충청남도","위탁처리",재활용,172060.7
"충청남도","위탁처리",소각,101052.0
"충청남도","위탁처리",매립,242.4
"충청남도","위탁처리",기타,0.0
"전라북도","총계",소계,612062.9
"전라북도","총계",재활용,312854.0
"전라북도","총계",소각,180143.7
"전라북도","총계",매립,119065.2
"전라북도","총계",기타,0.0
"전라북도","공공처리",소계,434883.4
"전라북도","공공처리",재활용,158541.8
"전라북도","공공처리",소각,159069.7
"전라북도","공공처리",매립,117271.9
"전라북도","공공처리",기타,0.0
"전라북도","자가처리",소계,196.3
"전라북도","자가처리",재활용,196.3
"전라북도","자가처리",소각,0.0
"전라북도","자가처리",매립,0.0
"전라북도","자가처리",기타,0.0
"전라북도","위탁처리",소계,176983.2
"전라북도","위탁처리",재활용,154115.9
"전라북도","위탁처리",소각,21074.0
"전라북도","위탁처리",매립,1793.3
"전라북도","위탁처리",기타,0.0
"전라남도","총계",소계,650020.5
"전라남도","총계",재활용,255091.0
"전라남도","총계",소각,137129.0
"전라남도","총계",매립,236183.2
"전라남도","총계",기타,21617.3
"전라남도","공공처리",소계,560109.4
"전라남도","공공처리",재활용,173273.6
"전라남도","공공처리",소각,132666.9
"전라남도","공공처리",매립,232558.9
"전라남도","공공처리",기타,21610.0
"전라남도","자가처리",소계,991.3
"전라남도","자가처리",재활용,984.0
"전라남도","자가처리",소각,0.0
"전라남도","자가처리",매립,0.0
"전라남도","자가처리",기타,7.3
"전라남도","위탁처리",소계,88919.8
"전라남도","위탁처리",재활용,80833.4
"전라남도","위탁처리",소각,4462.1
"전라남도","위탁처리",매립,3624.3
"전라남도","위탁처리",기타,0.0
"경상북도","총계",소계,903107.9
"경상북도","총계",재활용,337581.1
"경상북도","총계",소각,456366.9
"경상북도","총계",매립,107134.9
"경상북도","총계",기타,2025.0
"경상북도","공공처리",소계,641172.1
"경상북도","공공처리",재활용,156127.2
"경상북도","공공처리",소각,375885.0
"경상북도","공공처리",매립,107134.9
"경상북도","공공처리",기타,2025.0
"경상북도","자가처리",소계,1770.2
"경상북도","자가처리",재활용,1646.2
"경상북도","자가처리",소각,124.0
"경상북도","자가처리",매립,0.0
"경상북도","자가처리",기타,0.0
"경상북도","위탁처리",소계,260165.6
"경상북도","위탁처리",재활용,179807.7
"경상북도","위탁처리",소각,80357.9
"경상북도","위탁처리",매립,0.0
"경상북도","위탁처리",기타,0.0
"경상남도","총계",소계,1270196.9
"경상남도","총계",재활용,642172.9
"경상남도","총계",소각,393281.7
"경상남도","총계",매립,220772.3
"경상남도","총계",기타,13970.0
"경상남도","공공처리",소계,986371.5
"경상남도","공공처리",재활용,361609.8
"경상남도","공공처리",소각,393281.7
"경상남도","공공처리",매립,217510.0
"경상남도","공공처리",기타,13970.0
"경상남도","자가처리",소계,2812.9
"경상남도","자가처리",재활용,2812.9
"경상남도","자가처리",소각,0.0
"경상남도","자가처리",매립,0.0
"경상남도","자가처리",기타,0.0
"경상남도","위탁처리",소계,281012.5
"경상남도","위탁처리",재활용,277750.2
"경상남도","위탁처리",소각,0.0
"경상남도","위탁처리",매립,3262.3
"경상남도","위탁처리",기타,0.0
"제주특별자치도","총계",소계,417739.7
"제주특별자치도","총계",재활용,261898.1
"제주특별자치도","총계",소각,136694.6
"제주특별자치도","총계",매립,19147.0
"제주특별자치도","총계",기타,0.0
"제주특별자치도","공공처리",소계,251536.4
"제주특별자치도","공공처리",재활용,95694.8
"제주특별자치도","공공처리",소각,136694.6
"제주특별자치도","공공처리",매립,19147.0
"제주특별자치도","공공처리",기타,0.0
"제주특별자치도","자가처리",소계,1960.2
"제주특별자치도","자가처리",재활용,1960.2
"제주특별자치도","자가처리",소각,0.0
"제주특별자치도","자가처리",매립,0.0
"제주특별자치도","자가처리",기타,0.0
"제주특별자치도","위탁처리",소계,164243.1
"제주특별자치도","위탁처리",재활용,164243.1
"제주특별자치도","위탁처리",소각,0.0
"제주특별자치도","위탁처리",매립,0.0
"제주특별자치도","위탁처리",기타,0.0
