"구분(1)",구분(2),구분(3),구분(4),2020
"서울",재활용 가능자원 분리배출,폐합성수지류,비닐류,151453.5
"서울",재활용 가능자원 분리배출,폐합성수지류,발포수지류,15523.8
"서울",재활용 가능자원 분리배출,폐합성수지류,PET병,47306.7
"서울",재활용 가능자원 분리배출,폐합성수지류,기타,127978.7
"서울",재활용 가능자원 분리배출,폐고무류,소계,18.5
"서울",재활용 가능자원 분리배출,폐유리병류,소계,81383.2
"서울",재활용 가능자원 분리배출,폐의류,소계,35626.8
"서울",재활용 가능자원 분리배출,폐섬유류,소계,11270.1
"서울",재활용 가능자원 분리배출,폐형광등,소계,1548.7
"서울",재활용 가능자원 분리배출,폐전지류,소계,590.6
"서울",재활용 가능자원 분리배출,영농폐기물,농약용기류,0.0
"서울",재활용 가능자원 분리배출,영농폐기물,폐비닐,0.0
"서울",재활용 가능자원 분리배출,폐식용유,소계,1913.9
"서울",재활용 가능자원 분리배출,폐전기전자제품,소계,6957.7
"서울",재활용 가능자원 분리배출,폐가구류,소계,33566.7
"서울",재활용 가능자원 분리배출,기타,소계,14109.5
"서울",재활용 가능자원 분리배출,재활용 잔재물,소계,167088.7
"서울",음식물류 폐기물 분리배출,소계,소계,862232.1
"부산",합계,소계,소계,1148394.2
"부산",종량제방식 등 혼합배출,소계,소계,335144.3
"부산",종량제방식 등 혼합배출,가연성,소계,303896.8
"부산",종량제방식 등 혼합배출,가연성,폐지류,96493.1
"부산",종량제방식 등 혼합배출,가연성,폐합성수지류,134077.9
"부산",종량제방식 등 혼합배출,가연성,폐고무류,31030.3
"부산",종량제방식 등 혼합배출,가연성,폐섬유류,13117.6
"부산",종량제방식 등 혼합배출,가연성,음식물류 폐기물,19872.6
"부산",종량제방식 등 혼합배출,가연성,폐목재류,5986.6
"부산",종량제방식 등 혼합배출,가연성,기타,3318.7
"부산",종량제방식 등 혼합배출,불연성,소계,31247.5
"부산",종량제방식 등 혼합배출,불연성,폐금속류,10421.9
