"시도(1)","항목별(1)",항목별(2),2019
"경남","총계",매립,563.1
"경남","총계",소각,1122.4
"경남","총계",재활용,1867.3
"경남","총계",기타,0.0
"경남","지방자치단체",소계,2674.1
"경남","지방자치단체",매립,554.2
"경남","지방자치단체",소각,1122.0
"경남","지방자치단체",재활용,997.9
"경남","지방자치단체",기타,0.0
"경남","위탁처리업체",소계,869.1
"경남","위탁처리업체",매립,8.9
"경남","위탁처리업체",소각,0.4
"경남","위탁처리업체",재활용,859.8
"경남","위탁처리업체",기타,0.0
"경남","자가처리업체",소계,9.6
"경남","자가처리업체",매립,0.0
"경남","자가처리업체",소각,0.0
"경남","자가처리업체",재활용,9.6
"경남","자가처리업체",기타,0.0
"제주","총계",계,959.2
"제주","총계",매립,59.2
"제주","총계",소각,260.6
"제주","총계",재활용,639.4
"제주","총계",기타,0.0
"제주","지방자치단체",소계,542.7
"제주","지방자치단체",매립,59.0
"제주","지방자치단체",소각,248.7
"제주","지방자치단체",재활용,235.0
"제주","지방자치단체",기타,0.0
"제주","위탁처리업체",소계,411.7
"제주","위탁처리업체",매립,0.2
"제주","위탁처리업체",소각,11.9
"제주","위탁처리업체",재활용,399.6
"제주","위탁처리업체",기타,0.0
"제주","자가처리업체",소계,4.8
"제주","자가처리업체",매립,0.0
"제주","자가처리업체",소각,0.0
"제주","자가처리업체",재활용,4.8
"제주","자가처리업체",기타,0.0
