시도명,항목,월,2019,2020
경기도,이산화질소,02,0.0296875,0.02559375
경기도,일산화탄소,02,0.6281249999999999,0.528125
경상남도,미세먼지 PM10,02,50.4,31.894736842105264
경상남도,미세먼지 PM2.5,02,25.0,20.210526315789476
경상남도,아황산가스,02,0.0035333333333333,0.0031666666666666
경상남도,오존,02,0.0317333333333333,0.0297368421052631
경상남도,이산화질소,02,0.0170666666666666,0.0154210526315789
경상남도,일산화탄소,02,0.4933333333333333,0.4526315789473684
경상북도,미세먼지 PM10,02,57.888888888888886,33.44444444444444
경상북도,미세먼지 PM2.5,02,34.1,22.4
경상북도,아황산가스,02,0.0038888888888888,0.004
경상북도,오존,02,0.0274444444444444,0.03
경상북도,이산화질소,02,0.0184444444444444,0.0127894736842105
경상북도,일산화탄소,02,0.5222222222222223,0.4842105263157894
광주광역시,미세먼지 PM10,02,57.0,32.0
광주광역시,미세먼지 PM2.5,02,34.0,21.0
광주광역시,아황산가스,02,0.003,0.003
광주광역시,오존,02,0.028,0.027
광주광역시,이산화질소,02,0.02,0.018
광주광역시,일산화탄소,02,0.6,0.5
대구광역시,미세먼지 PM10,02,54.0,38.0
대구광역시,미세먼지 PM2.5,02,33.0,26.0
대구광역시,아황산가스,02,0.003,0.003
대구광역시,오존,02,0.024,0.023
대구광역시,이산화질소,02,0.026,0.023
대구광역시,일산화탄소,02,0.6,0.6
대전광역시,미세먼지 PM10,02,62.0,38.0
대전광역시,미세먼지 PM2.5,02,36.0,23.0
대전광역시,아황산가스,02,0.003,0.003
대전광역시,오존,02,0.016,0.019
대전광역시,이산화질소,02,0.027,0.023
대전광역시,일산화탄소,02,0.6,0.5
부산광역시,미세먼지 PM10,02,48.0,34.0
부산광역시,미세먼지 PM2.5,02,28.0,22.0
부산광역시,아황산가스,02,0.004,0.004
부산광역시,오존,02,0.029,0.027
부산광역시,이산화질소,02,0.022,0.02
부산광역시,일산화탄소,02,0.4,0.4
서울특별시,미세먼지 PM10,02,57.0,41.0
서울특별시,미세먼지 PM2.5,02,35.0,28.0
서울특별시,아황산가스,02,0.005,0.003
서울특별시,오존,02,0.018,0.018
서울특별시,이산화질소,02,0.036,0.032
서울특별시,일산화탄소,02,0.7,0.6
세종특별자치시,미세먼지 PM10,02,64.0,43.0
세종특별자치시,미세먼지 PM2.5,02,41.0,28.0
세종특별자치시,아황산가스,02,0.004,0.003
세종특별자치시,오존,02,0.02,0.021
세종특별자치시,이산화질소,02,0.021,0.024
세종특별자치시,일산화탄소,02,0.6,0.5
울산광역시,미세먼지 PM10,02,46.0,31.0
