지역,종류,날짜,수치
세종특별자치시,일산화탄소,2019.01,0.8
울산광역시,미세먼지 PM10,2019.01,45.0
울산광역시,미세먼지 PM2.5,2019.01,26.0
울산광역시,아황산가스,2019.01,0.004
울산광역시,오존,2019.01,0.025
울산광역시,이산화질소,2019.01,0.024
울산광역시,일산화탄소,2019.01,0.6
인천광역시,미세먼지 PM10,2019.01,62.0
인천광역시,미세먼지 PM2.5,2019.01,33.0
인천광역시,아황산가스,2019.01,0.006
인천광역시,오존,2019.01,0.017
인천광역시,이산화질소,2019.01,0.032
인천광역시,일산화탄소,2019.01,0.7
전라남도,미세먼지 PM10,2019.01,44.72727272727273
전라남도,미세먼지 PM2.5,2019.01,28.454545454545453
전라남도,아황산가스,2019.01,0.004636363636363636
전라남도,오존,2019.01,0.025
전라남도,이산화질소,2019.01,0.014636363636363637
전라남도,일산화탄소,2019.01,0.5454545454545454
전라북도,미세먼지 PM10,2019.01,58.6
전라북도,미세먼지 PM2.5,2019.01,38.53333333333333
전라북도,아황산가스,2019.01,0.003857142857142857
전라북도,오존,2019.01,0.022733333333333335
전라북도,이산화질소,2019.01,0.016466666666666668
전라북도,일산화탄소,2019.01,0.56
제주특별자치도,미세먼지 PM10,2019.01,35.333333333333336
제주특별자치도,미세먼지 PM2.5,2019.01,22.0
제주특별자치도,아황산가스,2019.01,0.0023333333333333335
제주특별자치도,오존,2019.01,0.039
제주특별자치도,이산화질소,2019.01,0.011999999999999999
제주특별자치도,일산화탄소,2019.01,0.39999999999999997
충청남도,미세먼지 PM10,2019.01,60.1875
충청남도,미세먼지 PM2.5,2019.01,36.25
충청남도,아황산가스,2019.01,0.00475
충청남도,오존,2019.01,0.0203125
충청남도,이산화질소,2019.01,0.021375
충청남도,일산화탄소,2019.01,0.725
충청북도,미세먼지 PM10,2019.01,68.9
충청북도,미세먼지 PM2.5,2019.01,45.8
충청북도,아황산가스,2019.01,0.0049
충청북도,오존,2019.01,0.014799999999999999
충청북도,이산화질소,2019.01,0.027800000000000002
충청북도,일산화탄소,2019.01,0.7
강원도,미세먼지 PM10,2019.02,49.44444444444444
강원도,미세먼지 PM2.5,2019.02,30.055555555555557
강원도,아황산가스,2019.02,0.0030555555555555557
강원도,오존,2019.02,0.027777777777777776
