"죄종별(1)","죄종별(2)",범죄발생검거기간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"폭력범죄","협박",1개월이내,567,732,736,850,1512,2619,2958,3435,4488,4860
"폭력범죄","협박",3개월이내,711,891,848,984,1521,2129,2113,2633,3202,3761
"폭력범죄","협박",6개월이내,298,376,360,399,551,610,630,724,861,996
"폭력범죄","협박",1년이내,216,196,261,262,321,387,345,402,431,471
"폭력범죄","협박",1년초과,209,232,250,282,346,421,359,372,401,460
"폭력범죄","약취·유인",계,223,174,154,172,181,191,191,167,224,186
"폭력범죄","약취·유인",1일이내,75,65,56,47,51,63,63,52,50,34
"폭력범죄","약취·유인",2일이내,7,5,3,5,2,3,8,6,7,2
"폭력범죄","약취·유인",3일이내,9,2,1,4,2,7,6,6,3,7
"폭력범죄","약취·유인",10일이내,25,22,15,12,15,12,22,19,26,20
"폭력범죄","약취·유인",1개월이내,24,22,26,32,28,32,25,38,55,38
"폭력범죄","약취·유인",3개월이내,35,22,29,27,29,28,38,20,51,46
"폭력범죄","약취·유인",6개월이내,23,10,7,18,16,17,8,7,15,17
"폭력범죄","약취·유인",1년이내,7,12,9,6,13,11,4,7,5,9
"폭력범죄","약취·유인",1년초과,18,14,8,21,25,18,17,12,12,13
"폭력범죄","폭력행위등",계,40172,41670,37672,34851,33780,12604,10668,8694,7945,7073
"폭력범죄","폭력행위등",1일이내,23740,22739,20781,18401,17244,5305,4090,2595,2043,1439
"폭력범죄","폭력행위등",2일이내,773,830,722,579,569,208,196,124,98,66
"폭력범죄","폭력행위등",3일이내,754,912,829,767,661,269,248,168,157,120
"폭력범죄","폭력행위등",10일이내,3715,4220,3894,3769,3720,1594,1499,1176,1084,920
"폭력범죄","폭력행위등",1개월이내,4676,5373,4889,4854,5093,2304,2186,2048,1956,1849
"폭력범죄","폭력행위등",3개월이내,3625,4190,3559,3634,3500,1602,1448,1640,1668,1711
"폭력범죄","폭력행위등",6개월이내,1231,1401,1174,1169,1136,547,458,467,453,489
"폭력범죄","폭력행위등",1년이내,796,935,715,742,750,327,246,209,234,229
"폭력범죄","폭력행위등",1년초과,862,1069,1109,936,1107,448,297,267,252,250
"폭력범죄","폭력행위등",미상,-,1,-,-,-,-,-,-,-,-
"폭력범죄","공갈",계,3238,4829,2855,3523,2866,3086,3026,2584,3031,2679
"폭력범죄","공갈",1일이내,626,631,309,335,264,325,259,196,186,144
"폭력범죄","공갈",2일이내,53,71,32,30,18,21,19,17,27,21
"폭력범죄","공갈",3일이내,41,86,28,28,22,26,24,13,29,14
"폭력범죄","공갈",10일이내,261,366,176,201,146,160,179,129,160,91
"폭력범죄","공갈",1개월이내,441,760,414,498,358,522,456,440,463,378
"폭력범죄","공갈",3개월이내,597,1001,652,822,685,766,711,730,888,794
"폭력범죄","공갈",6개월이내,380,683,464,581,473,436,500,392,602,537
"폭력범죄","공갈",1년이내,247,635,307,443,382,342,402,270,326,325
"폭력범죄","공갈",1년초과,592,596,473,585,518,488,476,397,350,375
"폭력범죄","손괴",계,25874,27070,26718,27543,29468,32462,32107,32726,35222,35426
"폭력범죄","손괴",1일이내,14740,14182,13510,12835,13062,13563,12180,11038,10371,8521
"폭력범죄","손괴",2일이내,372,419,419,367,460,553,555,456,566,506
"폭력범죄","손괴",3일이내,457,497,526,587,589,722,813,842,852,832
"폭력범죄","손괴",10일이내,2332,2746,2855,3175,3634,4491,4720,5172,5771,6132
"폭력범죄","손괴",1개월이내,3245,3806,3969,4569,5236,6098,6774,7561,8894,9620
"폭력범죄","손괴",3개월이내,2851,3284,3270,3721,4083,4542,4768,5276,6189,7084
"폭력범죄","손괴",6개월이내,882,1073,994,1109,1116,1182,1125,1277,1441,1582
"폭력범죄","손괴",1년이내,485,536,555,558,586,597,555,564,575,592
"폭력범죄","손괴",1년초과,509,527,620,622,702,714,617,540,563,557
"폭력범죄","손괴",미상,1,-,-,-,-,-,-,-,-,-
"지능범죄","소계",계,206226,199597,207108,204116,236499,240226,225445,245413,267063,279050
"지능범죄","소계",1일이내,14654,14825,15062,13938,14260,14036,13333,14071,13852,12431
"지능범죄","소계",2일이내,715,562,525,439,589,703,770,819,983,1307
"지능범죄","소계",3일이내,886,424,410,411,603,747,786,959,1021,1344
"지능범죄","소계",10일이내,4469,3593,3221,3223,4495,5975,6432,7435,9099,11143
"지능범죄","소계",1개월이내,16592,15513,13895,15450,20178,24869,27701,33656,40520,40655
"지능범죄","소계",3개월이내,32013,32994,36698,36699,46195,50714,51304,62566,76371,83261
"지능범죄","소계",6개월이내,24857,24695,27351,26953,32263,32636,30361,33047,37801,44777
"지능범죄","소계",1년이내,30824,31656,31667,30151,33061,31805,27985,27736,28003,28242
"지능범죄","소계",1년초과,81206,75327,78279,76845,84855,78741,66773,65124,59413,55890
"지능범죄","소계",미상,10,8,-,7,-,-,-,-,-,-
"지능범죄","직무유기",계,306,358,359,339,336,336,277,333,327,361
"지능범죄","직무유기",1일이내,1,2,1,1,2,2,1,-,2,-
"지능범죄","직무유기",2일이내,1,1,-,-,-,-,-,1,-,-
"지능범죄","직무유기",3일이내,1,-,-,-,1,-,1,-,-,-
"지능범죄","직무유기",10일이내,4,8,4,5,4,5,3,5,2,1
"지능범죄","직무유기",1개월이내,19,17,26,19,17,18,14,26,29,25
"지능범죄","직무유기",3개월이내,75,89,70,70,74,80,61,75,86,114
"지능범죄","직무유기",6개월이내,45,68,64,69,67,57,59,57,65,60
"지능범죄","직무유기",1년이내,49,65,59,59,48,64,46,61,42,66
"지능범죄","직무유기",1년초과,111,108,135,116,123,110,92,108,101,95
"지능범죄","직권남용",계,173,192,231,247,275,284,312,341,399,409
"지능범죄","직권남용",1일이내,-,1,2,1,1,7,2,3,2,2
"지능범죄","직권남용",2일이내,1,1,-,-,-,-,-,-,-,1
"지능범죄","직권남용",3일이내,2,2,2,-,-,1,1,-,-,2
"지능범죄","직권남용",10일이내,5,5,5,2,6,2,6,4,2,11
"지능범죄","직권남용",1개월이내,20,21,29,23,22,22,25,26,27,31
"지능범죄","직권남용",3개월이내,51,53,63,90,100,98,101,103,128,119
"지능범죄","직권남용",6개월이내,25,27,29,45,40,51,62,57,82,68
"지능범죄","직권남용",1년이내,27,21,29,34,39,45,35,54,62,60
"지능범죄","직권남용",1년초과,42,61,72,52,67,58,80,94,96,115
"지능범죄","증수뢰",계,571,340,234,242,229,247,290,328,240,259
"지능범죄","증수뢰",1일이내,11,12,6,4,8,13,7,1,2,3
"지능범죄","증수뢰",2일이내,-,1,-,-,-,-,-,-,-,-
"지능범죄","증수뢰",3일이내,-,1,-,-,-,-,-,-,-,-
"지능범죄","증수뢰",10일이내,3,3,2,1,1,2,1,1,3,1
"지능범죄","증수뢰",1개월이내,7,5,6,7,2,8,9,9,8,7
"지능범죄","증수뢰",3개월이내,70,20,26,17,16,22,25,32,30,33
"지능범죄","증수뢰",6개월이내,54,27,20,23,24,23,35,45,26,19
"지능범죄","증수뢰",1년이내,91,89,40,39,48,41,50,49,30,44
"지능범죄","증수뢰",1년초과,335,182,134,151,130,138,163,191,141,152
"지능범죄","통화",계,149,265,198,154,174,123,532,153,107,63
"지능범죄","통화",1일이내,22,33,29,21,40,32,55,36,19,11
"지능범죄","통화",2일이내,1,7,6,5,5,4,3,3,7,2
"지능범죄","통화",3일이내,3,4,6,2,3,5,10,4,4,2
"지능범죄","통화",10일이내,16,56,31,23,35,17,47,19,17,9
"지능범죄","통화",1개월이내,38,38,41,37,42,26,90,22,23,13
"지능범죄","통화",3개월이내,38,101,48,45,29,25,131,31,23,14
"지능범죄","통화",6개월이내,25,16,14,7,14,6,66,15,6,9
"지능범죄","통화",1년이내,1,6,5,3,3,2,114,13,4,1
"지능범죄","통화",1년초과,5,4,18,11,3,6,16,10,4,2
"지능범죄","문서·인장",계,12878,11647,12038,11516,12216,11265,10878,10794,9610,9055
"지능범죄","문서·인장",1일이내,831,966,777,687,766,809,566,481,432,344
"지능범죄","문서·인장",2일이내,45,37,45,29,30,35,29,39,45,40
"지능범죄","문서·인장",3일이내,41,48,46,37,41,54,44,40,55,48
"지능범죄","문서·인장",10일이내,356,311,304,270,308,397,353,386,473,411
"지능범죄","문서·인장",1개월이내,1318,982,950,779,815,873,855,1414,1095,1080
"지능범죄","문서·인장",3개월이내,2125,1821,1748,1521,1514,1348,1430,1536,1654,1661
"지능범죄","문서·인장",6개월이내,1625,1387,1295,1282,1299,1159,1199,1069,1121,1121
"지능범죄","문서·인장",1년이내,1836,1635,1794,1942,1867,1755,1606,1242,1151,1112
"지능범죄","문서·인장",1년초과,4701,4460,5079,4969,5576,4835,4796,4587,3584,3238
"지능범죄","유가증권인지",계,482,359,312,277,233,184,161,153,103,68
"지능범죄","유가증권인지",1일이내,14,10,8,13,11,7,8,13,1,2
"지능범죄","유가증권인지",2일이내,1,-,1,-,2,1,1,2,1,-
"지능범죄","유가증권인지",3일이내,1,-,-,-,2,-,1,2,-,-
"지능범죄","유가증권인지",10일이내,6,3,7,7,-,2,4,3,3,3
"지능범죄","유가증권인지",1개월이내,14,27,10,8,8,5,7,5,7,6
"지능범죄","유가증권인지",3개월이내,90,36,33,42,24,17,15,18,17,9
"지능범죄","유가증권인지",6개월이내,94,68,44,44,21,26,22,36,11,5
"지능범죄","유가증권인지",1년이내,73,72,49,50,33,22,17,16,12,12
"지능범죄","유가증권인지",1년초과,189,143,160,113,132,104,86,58,51,31
"지능범죄","사기",계,167362,160852,165987,164594,192694,197359,183974,202300,225121,237407
"지능범죄","사기",1일이내,13127,13072,13247,12387,12198,11666,11182,12127,12011,10824
"지능범죄","사기",2일이내,528,390,294,274,325,375,424,532,664,1024
"지능범죄","사기",3일이내,720,279,198,246,338,401,422,645,692,976
"지능범죄","사기",10일이내,3420,2602,1983,2149,2761,3662,3959,4822,6075,8093
"지능범죄","사기",1개월이내,13663,12885,10921,12699,16511,20418,22764,27244,33743,33552
"지능범죄","사기",3개월이내,26242,27368,30317,31234,40458,44884,45196,55120,68132,74422
"지능범죄","사기",6개월이내,19812,19822,22102,21854,27355,28163,25814,28422,33317,40292
"지능범죄","사기",1년이내,24901,25527,25364,23877,26650,25965,22593,22883,23697,24096
"지능범죄","사기",1년초과,64939,58901,61561,59869,66098,61825,51620,50505,46790,44128
"지능범죄","사기",미상,10,6,-,5,-,-,-,-,-,-
"지능범죄","횡령",계,20094,21923,23708,22761,26449,26470,25690,27107,27091,27883
"지능범죄","횡령",1일이내,643,728,992,822,1225,1499,1510,1400,1371,1235
"지능범죄","횡령",2일이내,137,124,176,130,227,287,313,238,260,239
"지능범죄","횡령",3일이내,116,88,158,125,216,285,307,266,269,316
"지능범죄","횡령",10일이내,648,599,871,759,1371,1876,2047,2176,2495,2590
"지능범죄","횡령",1개월이내,1435,1472,1840,1801,2690,3405,3868,4773,5420,5764
"지능범죄","횡령",3개월이내,2913,3195,3977,3345,3675,3904,4089,5108,5793,6387
"지능범죄","횡령",6개월이내,2670,2880,3354,3174,3048,2758,2691,2779,2775,2796
"지능범죄","횡령",1년이내,3211,3550,3680,3490,3724,3241,2982,2872,2466,2393
"지능범죄","횡령",1년초과,8321,9286,8660,9114,10273,9215,7883,7495,6242,6163
"지능범죄","횡령",미상,-,1,-,1,-,-,-,-,-,-
"지능범죄","배임",계,4211,3661,4041,3986,3893,3958,3331,3904,4065,3545
"지능범죄","배임",1일이내,5,1,-,2,9,1,2,10,12,10
"지능범죄","배임",2일이내,1,1,3,1,-,1,-,4,6,1
"지능범죄","배임",3일이내,2,2,-,1,2,1,-,2,1,-
"지능범죄","배임",10일이내,11,6,14,7,9,12,12,19,29,24
"지능범죄","배임",1개월이내,78,66,72,77,71,94,69,137,168,177
"지능범죄","배임",3개월이내,409,311,416,335,305,336,256,543,508,502
"지능범죄","배임",6개월이내,507,400,429,455,395,393,413,567,398,407
"지능범죄","배임",1년이내,635,691,647,657,649,670,542,546,539,458
"지능범죄","배임",1년초과,2563,2182,2460,2450,2453,2450,2037,2076,2404,1966
"지능범죄","배임",미상,-,1,-,1,-,-,-,-,-,-
"풍속범죄","소계",계,27305,23102,25209,23124,22733,24600,21089,18390,19279,20514
"풍속범죄","소계",1일이내,8854,8377,7771,7688,7954,7149,7053,5898,5508,4860
"풍속범죄","소계",2일이내,278,256,291,256,230,207,214,166,172,296
"풍속범죄","소계",3일이내,299,254,294,242,243,232,236,215,209,274
"풍속범죄","소계",10일이내,1962,1829,2250,1386,1542,1446,1289,1338,1364,1388
"풍속범죄","소계",1개월이내,5139,3982,4286,3032,2945,2746,2467,2657,2656,2692
"풍속범죄","소계",3개월이내,5477,4045,5006,4530,3745,3937,3180,3268,3322,4022
"풍속범죄","소계",6개월이내,2220,1678,1955,2249,1985,2822,1769,1564,2293,2307
"풍속범죄","소계",1년이내,1498,1319,1237,2017,2008,3420,2260,1208,1813,2569
"풍속범죄","소계",1년초과,1578,1362,2119,1724,2081,2641,2621,2076,1942,2106
"풍속범죄","성풍속범죄",계,12305,13426,17341,15026,14522,11416,12553,12505,11452,12625
"풍속범죄","성풍속범죄",1일이내,1984,3299,3626,4118,4331,4069,4771,3798,3432,2714
"풍속범죄","성풍속범죄",2일이내,102,140,206,179,156,123,146,110,95,242
"풍속범죄","성풍속범죄",3일이내,124,135,210,141,147,136,152,137,118,183
"풍속범죄","성풍속범죄",10일이내,1030,1156,1712,900,1030,839,893,870,838,894
"풍속범죄","성풍속범죄",1개월이내,3828,3128,3672,2362,2330,1879,1941,2148,1888,2084
"풍속범죄","성풍속범죄",3개월이내,3545,3201,4448,3857,3148,2362,2519,2774,2420,3167
"풍속범죄","성풍속범죄",6개월이내,888,1122,1665,1656,1365,889,939,1139,1161,1467
