연도,범죄명,자백발생횟수,재범발생횟수,공범자수,마약소지
2019,마약범죄,9875,5746,3860,5124
2019,문서·인장,16253,4489,2437,2
2019,방화,1317,856,119,6
2019,배임,8151,1662,1180,0
2019,병역범죄,11809,6374,288,6
2019,보건범죄,18024,8408,4741,4
2019,사기,246160,97171,41057,90
2019,살인기수,345,156,57,4
2019,살인미수등,525,319,35,1
2019,상해,48854,32049,2976,19
2019,선거범죄,1180,473,325,0
2019,성풍속범죄,12473,5099,791,5
2019,손괴,38438,22961,1682,16
2019,안보범죄,545,306,423,0
2019,약취·유인,351,131,82,0
2019,유가증권인지,208,57,26,0
2019,유사강간,895,385,56,2
2019,절도범죄,101295,57279,19802,57
2019,증수뢰,942,388,439,0
2019,직권남용,974,49,99,0
2019,직무유기,788,26,51,0
2019,체포·감금,1654,681,303,2
2019,통화,143,47,27,0
2019,특별경제범죄,79175,38252,17251,18
2019,폭력행위등,28625,13575,21410,19
2019,폭행,202710,77946,6205,22
2019,협박,22377,11506,704,5
2019,환경범죄,5088,3353,1101,0
2019,횡령,35163,12932,3028,5
2020,강간,6113,2400,443,24
2020,강도,1202,773,668,8
2020,강제추행,16382,7940,378,7
2020,공갈,3434,1599,742,4
2020,교통범죄,356446,143499,3978,45
2020,기타 강간·강제추행등,349,204,51,2
2020,기타범죄,244539,109745,33676,90
2020,노동범죄,613,340,160,0
2020,도박범죄,21125,13902,11870,2
2020,마약범죄,11630,6233,4759,5423
2020,문서·인장,15465,4362,2188,5
2020,방화,1196,792,101,3
2020,배임,8324,1490,1191,0
2020,병역범죄,3164,1993,114,1
2020,보건범죄,21810,9860,6271,14
2020,사기,245009,97665,45554,71
2020,살인기수,341,164,36,3
2020,살인미수등,454,244,37,2
2020,상해,43552,28646,2309,5
2020,선거범죄,1545,606,533,0
2020,성풍속범죄,13546,4963,696,3
2020,손괴,38716,22815,1681,7
2020,안보범죄,678,388,556,0
2020,약취·유인,296,118,71,0
2020,유가증권인지,117,39,15,0
2020,유사강간,934,387,47,0
2020,절도범죄,98425,56375,19550,37
2020,증수뢰,807,305,268,0
2020,직권남용,1021,26,65,0
2020,직무유기,947,19,27,0
2020,체포·감금,1695,724,344,1
2020,통화,86,22,7,0
2020,특별경제범죄,67904,32086,14097,11
2020,폭력행위등,25342,12499,18738,2
2020,폭행,178448,70520,5035,26
2020,협박,22507,11381,601,6
2020,환경범죄,4329,2908,1010,0
2020,횡령,35930,13269,2919,4
