"죄종별(1)","죄종별(2)",전과별(1),전과별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"강력범죄","강제추행",전과있음,4범,-,-,557,618,617,680,733,737,736,658
"강력범죄","강제추행",전과있음,5범,-,-,448,454,507,512,614,543,541,546
"강력범죄","강제추행",전과있음,6범,-,-,352,333,345,403,468,422,409,416
"강력범죄","강제추행",전과있음,7범,-,-,253,261,295,314,346,348,360,387
"강력범죄","강제추행",전과있음,8범,-,-,186,230,227,255,277,285,277,252
"강력범죄","강제추행",전과있음,9범이상,-,-,1237,1313,1365,1534,1722,1610,1649,1575
"강력범죄","강제추행",미상,소계,-,-,1796,1580,1798,2206,2894,3283,3509,3433
"강력범죄","기타 강간·강제추행등",계,소계,-,-,1887,1193,686,521,371,458,495,349
"강력범죄","기타 강간·강제추행등",없음,소계,-,-,591,370,204,165,147,134,180,92
"강력범죄","기타 강간·강제추행등",전과있음,소계,-,-,1133,688,379,309,193,250,251,197
"강력범죄","기타 강간·강제추행등",전과있음,1범,-,-,269,161,95,67,39,45,53,41
"강력범죄","기타 강간·강제추행등",전과있음,2범,-,-,168,102,49,38,31,43,28,30
"강력범죄","기타 강간·강제추행등",전과있음,3범,-,-,141,83,47,44,20,24,27,27
"강력범죄","기타 강간·강제추행등",전과있음,4범,-,-,93,60,33,26,13,21,18,17
"강력범죄","기타 강간·강제추행등",전과있음,5범,-,-,81,51,18,20,10,20,13,11
"강력범죄","기타 강간·강제추행등",전과있음,6범,-,-,63,40,16,17,15,17,17,7
"강력범죄","기타 강간·강제추행등",전과있음,7범,-,-,46,26,17,9,8,15,10,9
"강력범죄","기타 강간·강제추행등",전과있음,8범,-,-,39,25,15,15,6,2,9,6
"강력범죄","기타 강간·강제추행등",전과있음,9범이상,-,-,233,140,89,73,51,63,76,49
"강력범죄","기타 강간·강제추행등",미상,소계,-,-,163,135,103,47,31,74,64,60
"강력범죄","방화",계,소계,1519,1399,1386,1466,1517,1396,1286,1387,1317,1196
"강력범죄","방화",없음,소계,532,361,356,372,328,341,300,356,298,255
"강력범죄","방화",전과있음,소계,987,943,943,995,1067,925,846,911,846,794
"강력범죄","방화",전과있음,1범,176,157,175,181,187,171,152,151,138,138
"강력범죄","방화",전과있음,2범,127,120,120,114,143,137,112,100,119,97
"강력범죄","방화",전과있음,3범,109,110,113,113,110,94,85,103,83,86
"강력범죄","방화",전과있음,4범,89,90,66,80,89,73,61,68,80,66
