"죄종별(1)","죄종별(2)","재범종류별(1)",재범기간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"폭력범죄","체포·감금","동종",계,59,68,67,52,57,99,126,135,119,120
"폭력범죄","체포·감금","동종",1개월이내,5,4,6,1,4,5,7,11,6,6
"폭력범죄","체포·감금","동종",3개월이내,6,5,6,3,5,6,15,21,21,15
"폭력범죄","체포·감금","동종",6개월이내,6,6,8,1,2,10,7,21,11,13
"폭력범죄","체포·감금","동종",1년이내,8,25,18,17,17,27,36,32,30,37
"폭력범죄","체포·감금","동종",2년이내,11,7,7,7,6,16,19,17,13,16
"폭력범죄","체포·감금","동종",3년이내,8,8,9,8,9,11,17,11,22,18
"폭력범죄","체포·감금","동종",3년초과,15,13,13,15,14,24,25,22,16,15
"폭력범죄","체포·감금","이종",계,360,430,446,407,482,745,768,552,562,604
"폭력범죄","체포·감금","이종",1개월이내,13,11,13,11,8,21,13,15,18,11
"폭력범죄","체포·감금","이종",3개월이내,16,20,24,16,15,34,40,38,27,26
"폭력범죄","체포·감금","이종",6개월이내,22,25,22,22,27,38,42,26,21,22
"폭력범죄","체포·감금","이종",1년이내,56,75,79,73,88,154,151,109,118,144
"폭력범죄","체포·감금","이종",2년이내,41,50,39,52,47,105,89,65,71,67
"폭력범죄","체포·감금","이종",3년이내,52,44,55,58,67,88,94,46,73,77
"폭력범죄","체포·감금","이종",3년초과,160,205,214,175,230,305,339,253,234,257
"폭력범죄","협박","계",계,1608,2171,2147,2212,4553,9494,9076,9510,11506,11381
"폭력범죄","협박","동종",계,242,321,283,256,586,1164,1169,1337,1770,1780
"폭력범죄","협박","동종",1개월이내,18,25,17,14,44,66,79,57,77,97
"폭력범죄","협박","동종",3개월이내,27,37,21,20,64,111,92,111,157,162
"폭력범죄","협박","동종",6개월이내,9,35,31,20,54,101,99,133,154,157
"폭력범죄","협박","동종",1년이내,62,88,76,81,143,304,298,349,447,482
"폭력범죄","협박","동종",2년이내,30,32,29,28,78,157,160,227,243,253
"폭력범죄","협박","동종",3년이내,35,29,38,27,62,142,137,132,250,221
"폭력범죄","협박","동종",3년초과,61,75,71,66,141,283,304,328,442,408
"폭력범죄","협박","이종",계,1366,1850,1864,1956,3967,8330,7907,8173,9736,9601
"폭력범죄","협박","이종",1개월이내,48,78,56,53,80,163,156,136,143,144
"폭력범죄","협박","이종",3개월이내,76,109,94,85,172,290,279,245,294,283
"폭력범죄","협박","이종",6개월이내,68,91,94,99,202,379,337,333,377,385
"폭력범죄","협박","이종",1년이내,233,261,298,364,597,1224,1203,1117,1291,1268
"폭력범죄","협박","이종",2년이내,143,216,209,226,460,883,843,933,1078,944
"폭력범죄","협박","이종",3년이내,163,229,242,214,487,960,896,948,1196,1053
"폭력범죄","협박","이종",3년초과,635,866,871,915,1969,4431,4193,4461,5357,5524
