범죄명,연도,검거기간,범죄종류,범죄자수
문서·인장,2011,6개월이내,지능범죄,1625
문서·인장,2011,1년이내,지능범죄,1836
문서·인장,2011,1년초과,지능범죄,4701
유가증권인지,2011,1일이내,지능범죄,14
유가증권인지,2011,2일이내,지능범죄,1
유가증권인지,2011,3일이내,지능범죄,1
유가증권인지,2011,10일이내,지능범죄,6
유가증권인지,2011,1개월이내,지능범죄,14
유가증권인지,2011,3개월이내,지능범죄,90
유가증권인지,2011,6개월이내,지능범죄,94
유가증권인지,2011,1년이내,지능범죄,73
유가증권인지,2011,1년초과,지능범죄,189
사기,2011,1일이내,지능범죄,13127
사기,2011,2일이내,지능범죄,528
사기,2011,3일이내,지능범죄,720
사기,2011,10일이내,지능범죄,3420
사기,2011,1개월이내,지능범죄,13663
사기,2011,3개월이내,지능범죄,26242
사기,2011,6개월이내,지능범죄,19812
사기,2011,1년이내,지능범죄,24901
사기,2011,1년초과,지능범죄,64939
사기,2011,미상,지능범죄,10
횡령,2011,1일이내,지능범죄,643
횡령,2011,2일이내,지능범죄,137
횡령,2011,3일이내,지능범죄,116
횡령,2011,10일이내,지능범죄,648
횡령,2011,1개월이내,지능범죄,1435
횡령,2011,3개월이내,지능범죄,2913
횡령,2011,6개월이내,지능범죄,2670
횡령,2011,1년이내,지능범죄,3211
횡령,2011,1년초과,지능범죄,8321
횡령,2011,미상,지능범죄,0
배임,2011,1일이내,지능범죄,5
배임,2011,2일이내,지능범죄,1
배임,2011,3일이내,지능범죄,2
배임,2011,10일이내,지능범죄,11
배임,2011,1개월이내,지능범죄,78
배임,2011,3개월이내,지능범죄,409
배임,2011,6개월이내,지능범죄,507
배임,2011,1년이내,지능범죄,635
배임,2011,1년초과,지능범죄,2563
배임,2011,미상,지능범죄,0
성풍속범죄,2011,1일이내,풍속범죄,1984
성풍속범죄,2011,2일이내,풍속범죄,102
성풍속범죄,2011,3일이내,풍속범죄,124
성풍속범죄,2011,10일이내,풍속범죄,1030
성풍속범죄,2011,1개월이내,풍속범죄,3828
성풍속범죄,2011,3개월이내,풍속범죄,3545
성풍속범죄,2011,6개월이내,풍속범죄,888
성풍속범죄,2011,1년이내,풍속범죄,426
성풍속범죄,2011,1년초과,풍속범죄,378
도박범죄,2011,1일이내,풍속범죄,6870
도박범죄,2011,2일이내,풍속범죄,176
도박범죄,2011,3일이내,풍속범죄,175
도박범죄,2011,10일이내,풍속범죄,932
도박범죄,2011,1개월이내,풍속범죄,1311
도박범죄,2011,3개월이내,풍속범죄,1932
도박범죄,2011,6개월이내,풍속범죄,1332
도박범죄,2011,1년이내,풍속범죄,1072
도박범죄,2011,1년초과,풍속범죄,1200
특별경제범죄,2011,1일이내,특별경제범죄,10553
특별경제범죄,2011,2일이내,특별경제범죄,268
특별경제범죄,2011,3일이내,특별경제범죄,270
특별경제범죄,2011,10일이내,특별경제범죄,2181
특별경제범죄,2011,1개월이내,특별경제범죄,6308
특별경제범죄,2011,3개월이내,특별경제범죄,12719
특별경제범죄,2011,6개월이내,특별경제범죄,8553
특별경제범죄,2011,1년이내,특별경제범죄,5616
특별경제범죄,2011,1년초과,특별경제범죄,6920
특별경제범죄,2011,미상,특별경제범죄,5
마약범죄,2011,1일이내,마약범죄,678
마약범죄,2011,2일이내,마약범죄,120
마약범죄,2011,3일이내,마약범죄,106
마약범죄,2011,10일이내,마약범죄,274
마약범죄,2011,1개월이내,마약범죄,497
마약범죄,2011,3개월이내,마약범죄,815
마약범죄,2011,6개월이내,마약범죄,578
마약범죄,2011,1년이내,마약범죄,464
마약범죄,2011,1년초과,마약범죄,369
마약범죄,2011,미상,마약범죄,0
보건범죄,2011,1일이내,보건범죄,3127
보건범죄,2011,2일이내,보건범죄,190
보건범죄,2011,3일이내,보건범죄,195
보건범죄,2011,10일이내,보건범죄,1304
보건범죄,2011,1개월이내,보건범죄,2997
보건범죄,2011,3개월이내,보건범죄,2859
보건범죄,2011,6개월이내,보건범죄,904
보건범죄,2011,1년이내,보건범죄,767
보건범죄,2011,1년초과,보건범죄,1536
보건범죄,2011,미상,보건범죄,0
환경범죄,2011,1일이내,환경범죄,503
환경범죄,2011,2일이내,환경범죄,46
환경범죄,2011,3일이내,환경범죄,24
환경범죄,2011,10일이내,환경범죄,248
환경범죄,2011,1개월이내,환경범죄,685
환경범죄,2011,3개월이내,환경범죄,623
환경범죄,2011,6개월이내,환경범죄,186
환경범죄,2011,1년이내,환경범죄,83
환경범죄,2011,1년초과,환경범죄,201
교통범죄,2011,1일이내,교통범죄,394109
교통범죄,2011,2일이내,교통범죄,15017
교통범죄,2011,3일이내,교통범죄,14173
교통범죄,2011,10일이내,교통범죄,42240
교통범죄,2011,1개월이내,교통범죄,27691
교통범죄,2011,3개월이내,교통범죄,10755
교통범죄,2011,6개월이내,교통범죄,2058
교통범죄,2011,1년이내,교통범죄,1344
교통범죄,2011,1년초과,교통범죄,1086
교통범죄,2011,미상,교통범죄,12
노동범죄,2011,1일이내,노동범죄,332
노동범죄,2011,2일이내,노동범죄,18
노동범죄,2011,3일이내,노동범죄,17
노동범죄,2011,10일이내,노동범죄,69
노동범죄,2011,1개월이내,노동범죄,190
노동범죄,2011,3개월이내,노동범죄,202
노동범죄,2011,6개월이내,노동범죄,168
노동범죄,2011,1년이내,노동범죄,190
노동범죄,2011,1년초과,노동범죄,334
안보범죄,2011,1일이내,안보범죄,17
안보범죄,2011,2일이내,안보범죄,1
안보범죄,2011,3일이내,안보범죄,0
안보범죄,2011,10일이내,안보범죄,2
안보범죄,2011,1개월이내,안보범죄,8
안보범죄,2011,3개월이내,안보범죄,6
안보범죄,2011,6개월이내,안보범죄,9
안보범죄,2011,1년이내,안보범죄,22
안보범죄,2011,1년초과,안보범죄,53
선거범죄,2011,1일이내,선거범죄,16
선거범죄,2011,2일이내,선거범죄,3
선거범죄,2011,3일이내,선거범죄,1
선거범죄,2011,10일이내,선거범죄,12
선거범죄,2011,1개월이내,선거범죄,43
선거범죄,2011,3개월이내,선거범죄,64
선거범죄,2011,6개월이내,선거범죄,30
선거범죄,2011,1년이내,선거범죄,10
선거범죄,2011,1년초과,선거범죄,14
병역범죄,2011,1일이내,병역범죄,44
병역범죄,2011,2일이내,병역범죄,49
병역범죄,2011,3일이내,병역범죄,34
병역범죄,2011,10일이내,병역범죄,342
병역범죄,2011,1개월이내,병역범죄,3181
병역범죄,2011,3개월이내,병역범죄,7109
병역범죄,2011,6개월이내,병역범죄,1824
병역범죄,2011,1년이내,병역범죄,1699
병역범죄,2011,1년초과,병역범죄,1481
병역범죄,2011,미상,병역범죄,0
기타범죄,2011,1일이내,기타범죄,46306
기타범죄,2011,2일이내,기타범죄,2072
기타범죄,2011,3일이내,기타범죄,1727
기타범죄,2011,10일이내,기타범죄,10858
기타범죄,2011,1개월이내,기타범죄,21427
기타범죄,2011,3개월이내,기타범죄,29279
기타범죄,2011,6개월이내,기타범죄,17299
기타범죄,2011,1년이내,기타범죄,14037
기타범죄,2011,1년초과,기타범죄,20960
기타범죄,2011,미상,기타범죄,5
살인기수,2012,1일이내,강력범죄,226
살인기수,2012,2일이내,강력범죄,19
살인기수,2012,3일이내,강력범죄,13
