"특성별(1)","특성별(2)","특성별(3)",특성별(4),배달앱및대행별(1),이용여부및비용별(1),이용여부및비용별(2),2019,2020
"업종별","일반음식점 외","소계",소계,배달앱,월평균 비용,평균 (원),301942.9,366326.2
"업종별","일반음식점 외","소계",소계,배달대행,이용여부 (%),예,11.2,17.6
"업종별","일반음식점 외","소계",소계,배달대행,이용여부 (%),아니오,88.8,82.4
"업종별","일반음식점 외","소계",소계,배달대행,월평균 비용,5만원 미만 (%),8.6,8.7
"업종별","일반음식점 외","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),15.7,13.8
"업종별","일반음식점 외","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),29.9,33.4
"업종별","일반음식점 외","소계",소계,배달대행,월평균 비용,50만원 이상 (%),45.7,39.1
"업종별","일반음식점 외","소계",소계,배달대행,월평균 비용,모름 (%),-,5.0
"업종별","일반음식점 외","소계",소계,배달대행,월평균 비용,평균 (원),687662.7,930372.0
"업종별","일반음식점 외","기관 구내식당업",소계,배달앱,이용여부 (%),예,0.0,0.0
"업종별","일반음식점 외","기관 구내식당업",소계,배달앱,이용여부 (%),아니오,100.0,100.0
"업종별","일반음식점 외","기관 구내식당업",소계,배달대행,이용여부 (%),예,0.0,0.0
"업종별","일반음식점 외","기관 구내식당업",소계,배달대행,이용여부 (%),아니오,100.0,100.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,이용여부 (%),예,0.0,41.4
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,이용여부 (%),아니오,100.0,58.6
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,월평균 비용,5만원 미만 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,월평균 비용,50만원 이상 (%),-,100.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,월평균 비용,모름 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,월평균 비용,평균 (원),-,700000.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,이용여부 (%),예,0.0,41.4
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,이용여부 (%),아니오,100.0,58.6
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,월평균 비용,5만원 미만 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),-,100.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,월평균 비용,50만원 이상 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,월평균 비용,모름 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,월평균 비용,평균 (원),-,390000.0
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,이용여부 (%),예,1.6,27.6
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,이용여부 (%),아니오,98.4,72.4
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,월평균 비용,5만원 미만 (%),0.0,5.6
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,월평균 비용,5만원~15만원 미만 (%),29.5,41.9
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,월평균 비용,15만원~50만원 미만 (%),0.5,43.3
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,월평균 비용,50만원 이상 (%),70.0,0.1
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,월평균 비용,모름 (%),-,9.0
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,월평균 비용,평균 (원),587611.8,170315.3
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,이용여부 (%),예,2.8,19.6
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,이용여부 (%),아니오,97.2,80.4
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,월평균 비용,5만원 미만 (%),0.0,17.0
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,월평균 비용,5만원~15만원 미만 (%),17.3,38.8
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,월평균 비용,15만원~50만원 미만 (%),41.5,24.4
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,월평균 비용,50만원 이상 (%),41.2,11.2
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,월평균 비용,모름 (%),-,8.6
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,월평균 비용,평균 (원),388685.7,240650.0
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,이용여부 (%),예,55.2,65.9
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,이용여부 (%),아니오,44.8,34.1
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,월평균 비용,5만원 미만 (%),7.2,0.8
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,월평균 비용,5만원~15만원 미만 (%),26.7,32.0
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,월평균 비용,15만원~50만원 미만 (%),52.6,37.1
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,월평균 비용,50만원 이상 (%),13.5,27.4
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,월평균 비용,모름 (%),-,2.7
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,월평균 비용,평균 (원),306955.0,585980.0
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,이용여부 (%),예,49.4,61.8
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,이용여부 (%),아니오,50.6,38.2
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,월평균 비용,5만원 미만 (%),1.9,8.0
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,월평균 비용,5만원~15만원 미만 (%),16.5,11.1
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,월평균 비용,15만원~50만원 미만 (%),35.5,32.6
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,월평균 비용,50만원 이상 (%),46.2,46.7
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,월평균 비용,모름 (%),-,1.6
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,월평균 비용,평균 (원),706086.8,1659689.4
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,이용여부 (%),예,57.4,79.4
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,이용여부 (%),아니오,42.6,20.6
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,월평균 비용,5만원 미만 (%),4.6,4.5
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,월평균 비용,5만원~15만원 미만 (%),19.3,16.4
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,월평균 비용,15만원~50만원 미만 (%),61.6,50.8
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,월평균 비용,50만원 이상 (%),14.5,23.2
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,월평균 비용,모름 (%),-,5.1
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,월평균 비용,평균 (원),324037.5,364211.2
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,이용여부 (%),예,49.2,61.6
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,이용여부 (%),아니오,50.8,38.4
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,월평균 비용,5만원 미만 (%),9.9,4.0
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,월평균 비용,5만원~15만원 미만 (%),10.6,10.9
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,월평균 비용,15만원~50만원 미만 (%),29.6,32.2
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,월평균 비용,50만원 이상 (%),49.9,48.5
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,월평균 비용,모름 (%),-,4.4
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,월평균 비용,평균 (원),793054.4,919067.5
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,이용여부 (%),예,7.3,24.9
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,이용여부 (%),아니오,92.7,75.1
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,월평균 비용,5만원 미만 (%),8.9,5.1
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,월평균 비용,5만원~15만원 미만 (%),31.2,39.5
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,월평균 비용,15만원~50만원 미만 (%),49.5,32.9
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,월평균 비용,50만원 이상 (%),10.4,19.2
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,월평균 비용,모름 (%),-,3.3
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,월평균 비용,평균 (원),181861.4,364499.5
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,이용여부 (%),예,6.9,20.6
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,이용여부 (%),아니오,93.1,79.4
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,월평균 비용,5만원 미만 (%),10.9,8.6
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,월평균 비용,5만원~15만원 미만 (%),16.4,12.9
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,월평균 비용,15만원~50만원 미만 (%),24.9,31.2
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,월평균 비용,50만원 이상 (%),47.8,39.3
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,월평균 비용,모름 (%),-,8.0
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,월평균 비용,평균 (원),633979.9,831200.3
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,이용여부 (%),예,10.0,22.2
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,이용여부 (%),아니오,90.0,77.8
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,월평균 비용,5만원 미만 (%),0.0,3.8
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,월평균 비용,5만원~15만원 미만 (%),19.3,30.7
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,월평균 비용,15만원~50만원 미만 (%),64.0,50.5
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,월평균 비용,50만원 이상 (%),16.7,15.0
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,월평균 비용,모름 (%),-,0.0
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,월평균 비용,평균 (원),565763.9,319231.8
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달대행,이용여부 (%),예,6.4,22.1
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달대행,이용여부 (%),아니오,93.6,77.9
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달대행,월평균 비용,5만원 미만 (%),18.3,22.1
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달대행,월평균 비용,5만원~15만원 미만 (%),37.5,7.5
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달대행,월평균 비용,15만원~50만원 미만 (%),44.2,21.6
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달대행,월평균 비용,50만원 이상 (%),0.0,48.8
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달대행,월평균 비용,모름 (%),-,0.0
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달대행,월평균 비용,평균 (원),140688.4,801439.0
"업종별","일반음식점 외","주점업",소계,배달앱,이용여부 (%),예,2.0,5.7
"업종별","일반음식점 외","주점업",소계,배달앱,이용여부 (%),아니오,98.0,94.3
"업종별","일반음식점 외","주점업",소계,배달앱,월평균 비용,5만원 미만 (%),10.3,3.4
