시도명,강명,항목,2019,2020,19년_중금속,20년_중금속
광주광역시,영산강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
광주광역시,영산강,납 Pb (㎎/ℓ),0.0,0.0,0,0
광주광역시,영산강,비소 As (㎎/ℓ),0.0,0.0,0,0
광주광역시,영산강,수은 Hg (㎎/ℓ),0.0,0.0,0,0
광주광역시,영산강,시안 CN (㎎/ℓ),0.0,0.0,0,0
광주광역시,영산강,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
전라남도,탐진강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
전라남도,탐진강,납 Pb (㎎/ℓ),0.0,0.0,0,0
전라남도,탐진강,비소 As (㎎/ℓ),0.0,0.0,0,0
전라남도,탐진강,수은 Hg (㎎/ℓ),0.0,0.0,0,0
전라남도,탐진강,시안 CN (㎎/ℓ),0.0,0.0,0,0
전라남도,탐진강,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
울산광역시,태화강,6가크롬 Cr6+ (㎎/ℓ),4.1666666666666665e-05,0.0,1,0
울산광역시,태화강,납 Pb (㎎/ℓ),0.0,0.0,0,0
울산광역시,태화강,비소 As (㎎/ℓ),0.0,0.0,0,0
울산광역시,태화강,수은 Hg (㎎/ℓ),0.0,0.0,0,0
울산광역시,태화강,시안 CN (㎎/ℓ),0.0,0.0,0,0
울산광역시,태화강,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
경상북도,형산강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
경상북도,형산강,납 Pb (㎎/ℓ),0.0,0.0,0,0
경상북도,형산강,비소 As (㎎/ℓ),0.0,0.0,0,0
경상북도,형산강,수은 Hg (㎎/ℓ),0.0,0.0,0,0
경상북도,형산강,시안 CN (㎎/ℓ),0.0,0.0,0,0
경상북도,형산강,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
경상남도,회야강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
경상남도,회야강,납 Pb (㎎/ℓ),0.0,4.958333333333334e-05,0,1
경상남도,회야강,비소 As (㎎/ℓ),0.001,0.0018383333333333,1,1
경상남도,회야강,수은 Hg (㎎/ℓ),0.0,4.166666666666667e-07,0,1
경상남도,회야강,시안 CN (㎎/ℓ),0.0,0.0,0,0
경상남도,회야강,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
